Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Blinding Lights;The Weeknd;1;2019;11;29;43899;3704;171
Blinding Lights;The Weeknd;1;2019;11;29;43899;3704;171
Shape of You;Ed Sheeran;1;2017;1;6;32181;3563;96
Shape of You;Ed Sheeran;1;2017;1;6;32181;3563;96
Someone You Loved;Lewis Capaldi;1;2018;11;8;17836;2887;110
Someone You Loved;Lewis Capaldi;1;2018;11;8;17836;2887;110
Dance Monkey;Tones and I;1;2019;5;10;24529;2865;98
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2;2018;10;9;24094;2808;90
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2;2018;10;9;24094;2808;90
One Dance;Drake, WizKid, Kyla;3;2016;4;4;43257;2714;104
One Dance;Drake, WizKid, Kyla;3;2016;4;4;43257;2714;104
STAY (with Justin Bieber);Justin Bieber, The Kid Laroi;2;2021;7;9;17050;2665;170
STAY (with Justin Bieber);Justin Bieber, The Kid Laroi;2;2021;7;9;17050;2665;170
Believer;Imagine Dragons;1;2017;1;31;18986;2594;125
Believer;Imagine Dragons;1;2017;1;31;18986;2594;125
Closer;The Chainsmokers, Halsey;2;2016;5;31;28032;2591;95
Starboy;The Weeknd, Daft Punk;2;2016;9;21;29536;2566;186
Starboy;The Weeknd, Daft Punk;2;2016;9;21;29536;2566;186
Perfect;Ed Sheeran;1;2017;1;1;16596;2560;95
Perfect;Ed Sheeran;1;2017;1;1;16596;2560;95
Heat Waves;Glass Animals;1;2020;6;28;22543;2558;81
Heat Waves;Glass Animals;1;2020;6;28;22543;2558;81
As It Was;Harry Styles;1;2022;3;31;23575;2513;174
As It Was;Harry Styles;1;2022;3;31;23575;2513;174
Se??o;Shawn Mendes, Camila Cabello;2;2019;6;19;15010;2485;117
Say You Won t Let Go;James Arthur;1;2016;9;9;15722;2420;99
Say You Won t Let Go;James Arthur;1;2016;9;9;15722;2420;99
lovely - Bonus Track;Billie Eilish, Khalid;2;2017;8;11;15032;2356;115
lovely - Bonus Track;Billie Eilish, Khalid;2;2017;8;11;15032;2356;115
Watermelon Sugar;Harry Styles;1;2019;11;17;21915;2323;95
Watermelon Sugar;Harry Styles;1;2019;11;17;21915;2323;95
Don t Start Now;Dua Lipa;1;2019;10;31;27119;2303;124
Don t Start Now;Dua Lipa;1;2019;10;31;27119;2303;124
Lucid Dreams;Juice WRLD;1;2017;6;15;14749;2289;84
Sweater Weather;The Neighbourhood;1;2012;5;14;16413;2283;124
Sweater Weather;The Neighbourhood;1;2012;5;14;16413;2283;124
Thinking Out Loud;Ed Sheeran;1;2014;1;1;33032;2281;79
Photograph;Ed Sheeran;1;2014;6;20;18778;2237;108
Something Just Like This;The Chainsmokers, Coldplay;2;2017;2;22;23375;2204;103
Bohemian Rhapsody - Remastered 2011;Queen;1;1975;10;31;40112;2197;71
Shallow;Lady Gaga, Bradley Cooper;2;2018;9;27;16636;2159;96
Take Me To Church;Hozier;1;2013;9;13;23804;2135;129
Take Me To Church;Hozier;1;2013;9;13;23804;2135;129
Circles;Post Malone;1;2019;8;30;19664;2132;120
Circles;Post Malone;1;2019;8;30;19664;2132;120
Love Yourself;Justin Bieber;1;2015;11;9;22730;2123;100
All of Me;John Legend;1;2013;8;1;27221;2086;120
Counting Stars;OneRepublic;1;2013;1;1;29215;2011;122
Counting Stars;OneRepublic;1;2013;1;1;29215;2011;122
Riptide;Vance Joy;1;1975;1;1;31123;2009;102
Riptide;Vance Joy;1;1975;1;1;31123;2009;102
Wake Me Up - Radio Edit;Avicii;1;2013;1;1;50887;1971;124
Can t Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;3;2011;8;16;6074;1954;146
Can t Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;3;2011;8;16;6074;1954;146
The Hills;The Weeknd;1;2015;5;27;25744;1947;136
The Hills;The Weeknd;1;2015;5;27;25744;1947;136
HUMBLE.;Kendrick Lamar;1;2017;3;30;33206;1930;150
One Kiss (with Dua Lipa);Calvin Harris, Dua Lipa;2;2017;6;2;27705;1898;124
One Kiss (with Dua Lipa);Calvin Harris, Dua Lipa;2;2017;6;2;27705;1898;124
good 4 u;Olivia Rodrigo;1;2021;5;14;15563;1887;166
good 4 u;Olivia Rodrigo;1;2021;5;14;15563;1887;166
drivers license;Olivia Rodrigo;1;2021;1;8;12685;1858;144
drivers license;Olivia Rodrigo;1;2021;1;8;12685;1858;144
Demons;Imagine Dragons;1;2012;1;1;26694;1840;180
Demons;Imagine Dragons;1;2012;1;1;26694;1840;180
Lose Yourself - Soundtrack Version;Eminem;1;2002;1;1;32502;1830;171
Lose Yourself - Soundtrack Version;Eminem;1;2002;1;1;32502;1830;171
INDUSTRY BABY (feat. Jack Harlow);Jack Harlow, Lil Nas X;2;2021;7;23;13315;1814;150
Another Love;Tom Odell;1;2012;10;15;18371;1814;123
INDUSTRY BABY (feat. Jack Harlow);Jack Harlow, Lil Nas X;2;2021;7;23;13315;1814;150
Another Love;Tom Odell;1;2012;10;15;18371;1814;123
Mr. Brightside;The Killers;1;2003;9;23;51979;1807;148
Levitating (feat. DaBaby);Dua Lipa, DaBaby;2;2020;3;27;15894;1803;103
Levitating (feat. DaBaby);Dua Lipa, DaBaby;2;2020;3;27;15894;1803;103
No Role Modelz;J. Cole;1;2014;12;9;21164;1791;100
No Role Modelz;J. Cole;1;2014;12;9;21164;1791;100
Do I Wanna Know?;Arctic Monkeys;1;2013;1;1;33783;1788;85
Do I Wanna Know?;Arctic Monkeys;1;2013;1;1;33783;1788;85
Dakiti;Bad Bunny, Jhay Cortez;2;2020;10;30;11215;1763;110
Dakiti;Bad Bunny, Jhay Cortez;2;2020;10;30;11215;1763;110
Memories;Maroon 5;1;2019;9;20;9974;1760;91
Yellow;Chris Molitor;1;1999;1;1;31358;1755;173
Yellow;Chris Molitor;1;1999;1;1;31358;1755;173
MONTERO (Call Me By Your Name);Lil Nas X;1;2020;9;18;12329;1735;179
MONTERO (Call Me By Your Name);Lil Nas X;1;2020;9;18;12329;1735;179
There s Nothing Holdin  Me Back;Shawn Mendes;1;2016;9;23;12382;1714;122
Mood (feat. Iann Dior);24kgoldn, Iann Dior;2;2020;7;24;12854;1699;91
" Till I Collapse";Eminem, Nate Dogg;2;2002;5;26;22923;1696;171
Dynamite;BTS;1;2020;8;21;8528;1693;114
Dynamite;BTS;1;2020;8;21;8528;1693;114
Smells Like Teen Spirit - Remastered 2021;Nirvana;1;1991;9;10;49991;1690;117
Without Me;Eminem;1;2002;1;1;21081;1688;112
Without Me;Eminem;1;2002;1;1;21081;1688;112
When I Was Your Man;Bruno Mars;1;2012;12;5;2420;1661;145
When I Was Your Man;Bruno Mars;1;2012;12;5;2420;1661;145
Die For You;The Weeknd;1;2016;11;24;2483;1648;134
Die For You;The Weeknd;1;2016;11;24;2483;1648;134
Just The Way You Are;Bruno Mars;1;2010;1;1;21106;1641;109
Just The Way You Are;Bruno Mars;1;2010;1;1;21106;1641;109
In The End;Linkin Park;1;2000;10;24;25065;1624;105
In The End;Linkin Park;1;2000;10;24;25065;1624;105
Before You Go;Lewis Capaldi;1;2019;11;1;8327;1608;112
The Scientist;Coldplay;1;2002;8;5;30992;1608;146
I m Not The Only One;Sam Smith;1;2014;1;1;17492;1607;82
I m Not The Only One;Sam Smith;1;2014;1;1;17492;1607;82
Cold Heart - PNAU Remix;Dua Lipa, Elton John, Pnau;3;2017;11;10;21097;1605;116
Cold Heart - PNAU Remix;Dua Lipa, Elton John, Pnau;3;2017;11;10;21097;1605;116
Viva La Vida;Coldplay;1;2008;1;1;33898;1593;138
Every Breath You Take - Remastered 2003;The Police;1;1983;1;6;22439;1593;117
Viva La Vida;Coldplay;1;2008;1;1;33898;1593;138
Every Breath You Take - Remastered 2003;The Police;1;1983;1;6;22439;1593;117
Save Your Tears;The Weeknd;1;2020;3;20;12688;1591;118
Save Your Tears;The Weeknd;1;2020;3;20;12688;1591;118
Kiss Me More (feat. SZA);SZA, Doja Cat;2;2021;4;9;15867;1575;111
Kiss Me More (feat. SZA);SZA, Doja Cat;2;2021;4;9;15867;1575;111
Bad Habits;Ed Sheeran;1;2020;9;3;12755;1556;126
Bad Habits;Ed Sheeran;1;2020;9;3;12755;1556;126
Sweet Child O  Mine;Guns N  Roses;1;1987;1;1;41231;1553;125
Locked Out Of Heaven;Bruno Mars;1;2012;12;5;1622;1481;144
Locked Out Of Heaven;Bruno Mars;1;2012;12;5;1622;1481;144
Take On Me;a-ha;1;1984;10;19;44927;1479;84
Payphone;Maroon 5, Wiz Khalifa;2;2012;1;1;14143;1479;110
Take On Me;a-ha;1;1984;10;19;44927;1479;84
Payphone;Maroon 5, Wiz Khalifa;2;2012;1;1;14143;1479;110
